Film,Year,Country,Director,IMDb,Double_9,Sexual_Tension,Explicitness,Open_Relationship,Intimacy_Type,Style_Category,Region,Tags,Watch_Platform,Director_Background,Why_Watch,Recommended_If_Like
"Moonlight",2016,USA,Barry Jenkins,7.4,7.4,4,2,No,Revealing,Poetic,USA,"trauma,tenderness,identity",Netflix,A24,Essential viewing for emotional depth,"Weekend","A Single Man"
"Brokeback Mountain",2005,USA,Ang Lee,7.7,8.6,4,2,No,Revealing,Romantic-epic,USA,"forbidden love,classic",Prime,A24,Iconic love story,"Moonlight","The Hours"
"Call Me by Your Name",2017,Italy,Luca Guadagnino,7.8,8.2,4,3,No,Revealing,Art-house,Europe,"summer,first love,peach",Prime,Italy,Coming-of-age masterpiece,"Moonlight","A Single Man"
"Weekend",2011,UK,Andrew Haigh,7.6,8.2,4,3,No,Revealing,Realist,UK,"dialogue,intimacy,handheld",MUBI,UK,Essential for dialogue intimacy,"Moonlight","Keep the Lights On"
"Blue Is the Warmest Colour",2013,France,Abdellatif Kechiche,7.7,7.6,5,5,No,Physical,Realist,Europe,"long scenes,female gaze",Netflix,France,Most explicit European lesbian film,"The Handmaiden","Portrait"
"Carol",2015,USA,Todd Haynes,7.2,7.8,3,2,No,Revealing,Romantic,USA,"slow burn,eye contact",Netflix,USA,Classic slow-burn romance,"Call Me by Your Name","Far from Heaven"
"The Handmaiden",2016,South Korea,Park Chan-wook,8.5,8.5,5,4,Yes,Physical,Thriller,Asia,"power dynamics,lesbian",Netflix,South Korea,Psychological thriller with lesbian romance,"Blue Is the Warmest Colour","Burning"
"Stranger by the Lake",2013,France,Alain Guiraudie,6.9,7.4,5,5,Yes,Metaphorical,Art-house,Europe,"desire+death,lakeside",MUBI,France,Most dangerous film on this list,"Y Tu Mamá También","The Dreamers"
"The Dreamers",2003,France,Bernardo Bertolucci,7.5,7.8,5,4,Yes,Physical,Art-house,Europe,"political metaphor,film trivia",HBO Max,France,Political metaphor through intimacy,"Stranger by the Lake","Belle de Jour"
"Y Tu Mamá También",2001,Mexico,Alfonso Cuarón,7.6,8.1,5,4,Yes,Physical,Road-movie,Latin,"class dynamics,threesome",HBO Max,Mexico,Coming-of-age with class critique,"Stranger by the Lake","BPM"
