Film,Year,Country,Director,IMDb,Douban,Sexual_Tension,Explicitness,Open_Relationship,Intimacy_Type,Style_Category,Notes
"Stranger by the Lake",2013,France,Alain Guiraudie,6.9,7.4,5,5,Yes,Metaphorical,Art-house,"Desire+death, lakeside cruising"
"Weekend",2011,UK,Andrew Haigh,7.6,8.2,4,3,No,Revealing,Realist,"Dialogue intimacy, hand-held"
"Shortbus",2006,USA,John Cameron Mitchell,6.4,7.6,5,5,Yes,Physical,Experimental,"Open relationships, NYC"
"Moonlight",2016,USA,Barry Jenkins,7.4,7.4,4,2,No,Revealing,Poetic,"Trauma tenderness, blue tones"
"Sauvage",2018,France,Camille Vidal-Naquet,6.8,7.1,5,5,Yes,Physical,Art-house,"Body survival, male escort"
"Call Me by Your Name",2017,Italy,Luca Guadagnino,7.8,8.2,4,3,No,Revealing,Art-house,"Peach scene, facial reactions"
"Brokeback Mountain",2005,USA,Ang Lee,7.7,8.6,4,2,No,Revealing,Romantic-epic,"Tent scene, space contrast"
"Y Tu Mamá También",2001,Mexico,Alfonso Cuarón,7.6,8.1,5,4,Yes,Physical,Road-movie,"Class dynamics, threesome"
"The Dreamers",2003,France,Bernardo Bertolucci,7.5,7.8,5,4,Yes,Physical,Art-house,"Political metaphor, film trivia"
"Keep the Lights On",2012,USA,Ira Sachs,6.5,7.0,4,4,Yes,Psychological,Realist,"Addiction, relationship decay"
"A Single Man",2009,USA,Tom Ford,7.5,7.8,3,2,No,Revealing,Fashion-photo,"Memory montage, grief"
"God's Own Country",2017,UK,Francis Lee,7.7,7.9,4,4,No,Physical,Realist,"Rough, earth, emotional arc"
"Blue Is the Warmest Colour",2013,France,Abdellatif Kechiche,7.7,7.6,5,5,No,Physical,Realist,"Long scenes, female gaze"
"Carol",2015,USA,Todd Haynes,7.2,7.8,3,2,No,Revealing,Romantic,"Eye contact, slow burn"
"Portrait of a Lady on Fire",2019,France,Céline Sciamma,7.8,8.3,3,2,No,Revealing,Art-house,"Gaze as intimacy, painting"
"End of the Century",2019,Argentina,Lucio Castro,7.2,7.5,4,3,No,Revealing,Art-house,"Chance encounter, Buenos Aires"
"Matthias & Maxime",2019,Canada,Xavier Dolan,6.8,7.2,4,3,No,Physical,Art-house,"Kiss scene, tension release"
"Beach Rats",2017,USA,Eliza Hittman,6.4,6.8,5,4,No,Physical,Indie,"Summer exploration, Brooklyn"
"BPM (120 Battements Par Minute)",2017,France,Robin Campillo,7.4,7.9,4,3,No,Revealing,Documentary-style,"ACT UP, urgency"
"Firebird",2021,Estonia,Pjotr,7.4,7.6,3,2,No,Revealing,Period,"Cold war, forbidden love"
"Great Freedom",2021,Germany,Sebastian M.,7.4,7.5,5,4,Yes,Physical,Art-house,"Prison, repeated encounters"
"Supernova",2020,UK,Harry Macqueen,7.0,7.5,3,2,No,Revealing,Road-movie,"Road trip, dementia"
"Close",2022,Belgium,Lukas Dhont,7.7,8.0,3,2,No,Revealing,Poetic,"Childhood friends, trauma"
"Femme",2023,UK,Sam H.,7.2,7.4,4,4,No,Physical,Thriller,"Performance, revenge"
"All of Us Strangers",2023,UK,Andrew Haigh,7.8,8.2,3,2,No,Revealing,Fantasy,"Ghosts, memory"
"Queer",2024,Italy,Luca Guadagnino,-,-,4,4,Yes,Physical,Art-house,"William S. Burroughs adaptation"
"The Way He Looks",2014,Brazil,Daniel Ribeiro,8.0,8.2,3,2,No,Revealing,Coming-of-age,"Blind boy, first love"
"Shelter",2007,USA,Jonah Markowitz,7.6,7.8,3,2,No,Revealing,Indie,"Surfing, hidden identity"
"Love, Simon",2018,USA,Greg Berlanti,8.0,7.8,2,1,No,Revealing,Mainstream,"High school, closeted"
"Handsome Devil",2016,Ireland,John Butler,7.5,7.6,3,2,No,Revealing,Comedy-drama,"Rugby, forbidden"
"Maurice",1987,UK,James Ivory,7.7,7.9,3,2,No,Revealing,Period,"Victorian, hidden love"
"The Normal Heart",2014,USA,Ryan Murphy,8.0,7.9,3,2,No,Revealing,Drama,"AIDS crisis, activism"
"Philadelphia",1993,USA,Jonathan Demme,7.8,8.6,2,1,No,Revealing,Legal-drama,"AIDS discrimination, legal"
"Boys Don't Cry",1999,USA,Kimberly Peirce,7.5,7.4,4,3,No,Physical,Biopic,"Transgender, tragedy"
"Milk",2008,USA,Gus Van Sant,7.5,7.8,3,2,No,Revealing,Biopic,"Harvey Milk, political"
"Disobedience",2017,UK,Sebastián Lelio,6.5,7.0,3,2,No,Revealing,Drama,"Religious community"
"The Handmaiden",2016,South Korea,Park Chan-wook,8.5,8.5,5,4,Yes,Physical,Thriller,"Power dynamics, lesbian"
"The Hours",2002,USA,Stephen Daldry,7.5,7.9,3,2,No,Revealing,Literary,"Virginia Woolf, time"
"Far from Heaven",2001,USA,Todd Haynes,7.0,7.6,3,2,No,Revealing,Melodrama,"1950s, forbidden"
"The Kids Are All Right",2010,USA,Lisa Cholodenko,7.0,7.2,3,2,No,Revealing,Family-drama,"Lesbian family, donor"
"Blue Valentine",2010,USA,Derek Cianfrance,7.4,7.5,4,4,No,Physical,Romantic-drama,"Time structure, decay"
"Last Tango in Paris",1972,France,Bernardo Bertolucci,7.1,7.8,5,5,Yes,Physical,Art-house,"Butter scene, iconic"
"Belle de Jour",1967,France,Luis Buñuel,7.4,7.6,4,4,No,Physical,Fetishistic,"Day-time prostitute, fantasy"
